sample,P (Mpa),buffer,T_C,S,S_sd,fO2,DFMQ,sulfide sat?,sulfate sat?,logfO2,symbol
C70a,210,CGH,1020,290,90,,-3,Y,N,,circle
C70b,210,CGH,1020,220,60,,-3,Y,N,,circle
C54a,203,CGH,1025,266,70,,-3,Y,N,,circle
C69a,205,QFM,1025,540,140,,0,Y,N,,circle
C67b,201,QFM,1025,300,250,,0,Y,N,,circle
67a,203,QFM,1025,530,90,,0,Y,N,,circle
M69,215,QFM,950,1090,120,,0,Y,N,,circle
C58b,207,MNO,1023,2010,130,,4,Y,Y,,square
C72b,206,MNO,1027,2290,180,,4,Y,Y,,square
C59a,210,HM,1030,2110,180,-5.132840655,5.213163066,Y,Y,,square
C65c,196,HM,1025,1960,280,-5.210731657,5.220628163,Y,Y,,square
C68a,205,HM,1020,2290,230,-5.285845648,5.211965704,N,Y,,diamond
C135a,202,MNO,985,1940,110,,4,N,Y,,diamond
C135b,202,MNO,985,1860,60,,4,Y,Y,,square
C95c,195,MNO,950,1460,210,,4,Y,Y,,square
C82a,201,NNO,1025,240,60,-9.773063205,0.654059816,Y,N,,circle
C82b,201,NNO,1025,420,130,-9.773063205,0.654059816,Y,N,,circle
C105a,202,NNO,955,210,30,-10.86320238,0.655195009,Y,N,,circle
C105b,202,NNO,955,480,70,-10.86320238,0.655195009,Y,N,,circle
C143a,203,,953,920,140,,1.350536027,N,Y,-10.2,diamond
C110,199,,950,1150,180,,3.403887299,N,Y,-8.2,diamond