S_ppm,S_ppm_sd,d34S_pm,d34S_pm_sd,symbol
112,17,-2.8,0.92,circle
99,17,-2.5,0.77,circle
392,13,-1.6,0.58,square
925,13,-1.3,0.49,square
592,19,-1.2,0.58,circle
331,13,-1.2,0.74,square
441,19,-1.2,0.5,circle
458,13,-1.1,0.56,square
518,12,-1,0.69,square
624,17,-0.7,0.46,square
642,15,-0.7,0.46,square
502,14,-0.7,0.46,square
188,17,-0.6,0.72,circle
463,19,-0.5,0.46,square
600,15,-0.5,0.43,circle
1095,17,-0.3,0.43,square
812,19,-0.2,0.47,circle
807,20,-0.2,0.49,circle
669,20,-0.1,0.48,circle
972,17,-0.1,0.52,square
732,15,0.1,0.51,square
651,20,0.3,0.45,circle
792,19,0.5,0.56,square
1075,20,0.7,0.52,square
1030,18,0.9,0.48,square
1169,21,1,0.47,square
349,18,1.1,0.71,square
1388,19,1.5,0.44,square